title,author,author_company,repo,number,closed,created_at,closed_at,updated_at,labels,thumbs_up,thumbs_down
Improve auto-updater UX,going-confetti,@grafana,grafana/k6-studio,572,false,2025-03-17 16:32:33,,2025-03-17 16:32:33,"needs-triage, collab/design",92,8
Support ListSLOs query,iwysiu,,grafana/x-ray-datasource,330,false,2025-03-17 16:23:00,,2025-03-17 16:23:00,"type/feature-request, datasource/X-Ray",45,55
Support ListServiceDependencies query,iwysiu,,grafana/x-ray-datasource,329,false,2025-03-17 16:21:35,,2025-03-17 16:21:35,"type/feature-request, datasource/X-Ray",10,90
Support ListServiceOperations query,iwysiu,,grafana/x-ray-datasource,328,false,2025-03-17 15:53:32,,2025-03-17 16:21:59,"type/feature-request, datasource/X-Ray",23,77
Support List Services Query,iwysiu,,grafana/x-ray-datasource,327,false,2025-03-17 15:46:17,,2025-03-17 15:46:17,"type/feature-request, datasource/X-Ray",83,17
Delete code for `pluginsAPIMetrics` feature toggle,academo,Grafana Labs,grafana/grafana,102309,false,2025-03-17 15:34:38,,2025-03-17 15:34:47,"area/plugins, area/plugins-catalog, internal",22,78
Release Mimir 2.16,56quarters,@grafana,grafana/mimir,10917,false,2025-03-17 15:34:37,,2025-03-17 21:19:02,release,55,45
Add devtools menu to the app,w1kman,@grafana @k6io ,grafana/synthetic-monitoring-app,1088,false,2025-03-17 15:31:55,,2025-03-17 15:32:21,"enhancement, frontend",94,6
k6 Studio 1.0 does not initialize,cristianoventura,,grafana/k6-studio,569,true,2025-03-17 15:26:49,2025-03-17 15:38:59,2025-03-17 15:38:59,bug,38,62
pyroscope.java: impossible to have required __process_pid__ and service_name in kubernetes,jkruke,subshell GmbH,grafana/alloy,3010,false,2025-03-17 15:20:12,,2025-03-17 15:20:12,bug,52,48
Users see a contextualized trace list (table),alexbikfalvi,@grafana,grafana/traces-drilldown,370,false,2025-03-17 15:00:54,,2025-03-17 15:01:02,GA,71,29
dotnet example does not use Grafana.OpenTelemetry packge,darraghjones,,grafana/docker-otel-lgtm,348,false,2025-03-17 14:24:54,,2025-03-17 16:20:33,,11,89
Tidy up devenv,zoltanbedi,@grafana ,grafana/grafana-zabbix,1994,false,2025-03-17 14:10:17,,2025-03-17 14:10:17,,80,20
feat: Basic UI to support metrics from profiles,ifrost,,grafana/explore-profiles,464,false,2025-03-17 13:39:34,,2025-03-17 13:39:34,,38,62
add grafana/xk6-plugin extension,szkiba,,grafana/k6-extension-registry,57,true,2025-03-17 13:29:29,2025-03-17 13:53:34,2025-03-17 13:53:34,,96,4
Report resolved version for dependencies,pablochacin,grafana labs,grafana/k6exec,122,false,2025-03-17 12:52:09,,2025-03-17 12:52:09,bug,46,54
"SQL Expressions: Discoverability, from Grafana Transforms",samjewell,Grafana Labs,grafana/grafana,102291,false,2025-03-17 12:41:41,,2025-03-17 12:41:41,"internal, area/expressions/sql",88,12
SQL Expressions: Code-editor Improvements,samjewell,Grafana Labs,grafana/grafana,102289,false,2025-03-17 12:38:20,,2025-03-17 12:44:03,"internal, area/expressions/sql",30,70
memory profiling not happening for node js server version 20.,a60231023,,grafana/pyroscope,4013,true,2025-03-17 12:11:18,2025-03-17 16:09:46,2025-03-17 16:09:48,,24,76
Version Pinning Review Found Expired Pinned Versions,,,grafana/runner-images,144,false,2025-03-17 12:08:13,,2025-03-17 12:08:13,,31,69
"Error rate bar coloring is mistakenly colored green if query expressions contains ""ok"" - as in `loki-querier`",svennergr,,grafana/traces-drilldown,368,false,2025-03-17 11:50:25,,2025-03-17 11:50:25,,87,13
Alerting: Grafana sends extreme amount of retries on Teams Webhook Failure causing system instability,Vimao,,grafana/grafana,102282,false,2025-03-17 11:49:44,,2025-03-17 11:53:01,"type/bug, area/alerting, automated-triage",25,75
TableNG: Move footer option to fieldConfig,Develer,Grafana Labs,grafana/grafana,102280,false,2025-03-17 11:42:39,,2025-03-17 11:42:39,area/panel/table,44,56
Panel with id xxx not found,Trolls,,grafana/grafana-image-renderer,613,false,2025-03-17 11:25:21,,2025-03-17 11:32:20,,67,33
TableNG: Footer fields not working,Develer,Grafana Labs,grafana/grafana,102274,false,2025-03-17 10:30:41,,2025-03-17 10:34:06,area/panel/table,79,21
[prometheus exporter] Error logs reported with debug level,ebuildy,Naval group,grafana/alloy,3008,false,2025-03-17 10:28:02,,2025-03-17 10:28:02,bug,58,42
may need an ability to get configuration meta information through to all tools,resurgence72,,grafana/mcp-grafana,46,false,2025-03-17 10:12:13,,2025-03-17 10:32:41,,62,38
Dependabot errors,andresmgot,@grafana,grafana/grafana-plugin-sdk-go,1274,true,2025-03-17 10:09:11,2025-03-17 15:47:24,2025-03-17 15:47:25,bug,96,4
Support query parameters,KGOH,,grafana/clickhouse-datasource,1200,false,2025-03-17 10:08:53,,2025-03-17 15:25:04,"enhancement, datasource/ClickHouse",25,75
Update grammar with latest functions,ifrost,,grafana/lezer-traceql,27,false,2025-03-17 10:02:24,,2025-03-17 10:11:51,,91,9
Auto-Completion,Devam0908,,grafana/grafana,102272,false,2025-03-17 08:07:23,,2025-03-17 08:10:41,"type/feature-request, datasource/InfluxDB, automated-triage",94,6
Not working during high CPU load,Ccheers,www.lovengame.com,grafana/pyroscope-dotnet,102,false,2025-03-17 06:52:02,,2025-03-17 07:31:37,,68,32
React error when attempting to use datasource,beaugunderson,@canvas-medical,grafana/sentry-datasource,459,false,2025-03-16 23:29:24,,2025-03-16 23:31:09,"type/bug, datasource/Sentry",36,64
Improve SQL parser handling,rafaelroquetto,,grafana/beyla,1745,false,2025-03-16 22:55:30,,2025-03-17 09:51:43,,61,39
Use a monospaced font for query editor text areas,sbraz,,grafana/grafana,102263,false,2025-03-16 17:32:24,,2025-03-16 17:35:39,"type/feature-request, area/explore, automated-triage",53,47
"CORS Error: ""Origin Not Allowed"" When Adding Data Source Behind NGINX Reverse Proxy Grafana v11.4.1 (bcb04ab63b)",mudasirhaji,,grafana/grafana,102257,false,2025-03-16 11:26:02,,2025-03-16 11:29:22,"type/bug, area/backend/api, area/configuration, automated-triage",30,70
loki-read trying to look up loki-backend-headless with wrong domains,flexlixrup,,grafana/loki,16772,false,2025-03-16 10:41:25,,2025-03-16 10:41:25,,30,70
Internal Metrics: Collecting total usage stats uses gigabytes of memory,pushlean,,grafana/grafana,102255,false,2025-03-16 05:17:25,,2025-03-16 05:20:36,"type/bug, type/performance, area/backend/db, area/backend, area/backend/db/mysql, automated-triage",36,64
RFC3164 syslog message without PRI are dropped / lost,gogglespisano,,grafana/alloy,3007,false,2025-03-15 19:51:37,,2025-03-15 19:53:09,bug,63,37
Make trace view compatible with traceql,rmannibucau,Apache / OrangeLogic,grafana/grafana,102252,false,2025-03-15 18:46:20,,2025-03-17 10:24:56,"type/feature-request, datasource/Tempo, area/panel/traceview, automated-triage",83,17
lint-alloy workflow doesn't work,petewall,Grafana Labs,grafana/k8s-monitoring-helm,1328,false,2025-03-15 02:37:53,,2025-03-15 02:37:53,,30,70
[ FEATURE ] Client simple get scenraio,saniyar-dev,,grafana/xk6-http,11,false,2025-03-15 00:29:15,,2025-03-17 09:58:31,,61,39
Geomap: Plot multiple routes grouping data by field,MilanRiccardo03,Università degli Studi di Padova,grafana/grafana,102245,false,2025-03-14 22:54:00,,2025-03-14 22:57:21,"type/feature-request, area/panel/geomap, automated-triage",89,11
Make sure otlp default protocol is set properly,petewall,Grafana Labs,grafana/k8s-monitoring-helm,1326,false,2025-03-14 20:19:18,,2025-03-14 20:19:23,,41,59
Add input to allow skipping `create-github-release`,NWRichmond,Grafana,grafana/plugin-ci-workflows,54,false,2025-03-14 20:14:37,,2025-03-14 20:14:37,,47,53
Goja repo update?,al-sabr,,grafana/sobek,60,false,2025-03-14 20:11:51,,2025-03-14 20:11:51,,44,56
Remove pv_hourly_info metric,Pokom,@grafana ,grafana/Kost,37,false,2025-03-14 20:09:52,,2025-03-14 20:09:52,,68,32
Alerting: Folder Selection Doesn't Include Hierarchy,frmrm,,grafana/grafana,102242,false,2025-03-14 20:01:48,,2025-03-14 20:05:11,"type/bug, type/ux, area/alerting, automated-triage",76,24
Bad Response error when using query_prometheus tool,luthfihizb,,grafana/mcp-grafana,45,false,2025-03-14 18:45:02,,2025-03-17 09:17:25,,67,33
Adding an additional path doesn't work quite right with relative completions,abrassel,@databricks,grafana/jsonnet-language-server,192,false,2025-03-14 18:21:15,,2025-03-14 18:23:21,,70,30
Fix upper band expression for long term of daily look back,mtilson,@tilson-biz,grafana/promql-anomaly-detection,11,true,2025-03-14 18:01:56,2025-03-15 10:25:43,2025-03-15 10:25:45,,47,53
Dashboard: conditional logic in panel queries based on variable values,cyrille-leclerc,Grafana Labs,grafana/grafana,102236,false,2025-03-14 18:01:33,,2025-03-14 18:14:31,"kind/enhancement, internal",43,57
Alloy is not installed.  Please install it...,scarolan,carolan.io,grafana/vscode-alloy,9,true,2025-03-14 17:55:08,2025-03-14 19:15:46,2025-03-14 19:15:48,,19,81
Dashboard Query Variables: support additional static values,cyrille-leclerc,Grafana Labs,grafana/grafana,102229,false,2025-03-14 16:46:06,,2025-03-16 08:46:57,"area/dashboard, internal, area/dashboard/variable",74,26
k6 Studio use default settings as fallback without informing the user,going-confetti,@grafana,grafana/k6-studio,567,false,2025-03-14 16:17:41,,2025-03-14 16:17:41,"bug, needs-triage",34,66
Prometheus query builder: autocomplete of __name__ fails when other labels match many time series,artli,,grafana/grafana,102219,false,2025-03-14 16:16:27,,2025-03-14 16:19:45,"type/bug, datasource/Prometheus, area/exploremetrics, automated-triage",82,18
Explore: Data sources picker does not indicate current selected DS,evictorero,Grafana,grafana/grafana,102216,false,2025-03-14 15:45:49,,2025-03-17 15:30:13,"type/bug, area/frontend, type/accessibility, internal",2,98
Combobox: Doesn't work properly when mixing grouped and ungrouped options,ashharrison90,@grafana,grafana/grafana,102215,false,2025-03-14 15:38:42,,2025-03-14 16:04:26,"type/bug, area/grafana/ui, internal",53,47
Repair local .dmg file,L-M-K-B,Grafana Labs,grafana/k6-studio,566,false,2025-03-14 15:25:44,,2025-03-17 09:52:37,"bug, needs-triage",68,32
Improve support for macOS users when running k6 Studio locally,L-M-K-B,Grafana Labs,grafana/k6-studio,564,true,2025-03-14 15:18:31,2025-03-17 17:12:14,2025-03-17 17:14:03,"bug, needs-triage",31,69
Adjust file name of .dmg file to remove space,L-M-K-B,Grafana Labs,grafana/k6-studio,563,false,2025-03-14 15:07:30,,2025-03-14 15:26:46,"bug, needs-triage",74,26
Remove userStorageAPI feature toggle and make it the behavior default,tolzhabayev,Grafana Labs,grafana/grafana,102210,false,2025-03-14 14:58:34,,2025-03-14 14:59:58,"area/plugins, internal",96,4
Loki starts on install even when asked not to.,richard-scott,,grafana/loki,16763,false,2025-03-14 14:48:26,,2025-03-14 14:48:26,,20,80
Error with Alloy forwarding: pushing IngestInput-pprof failed invalid_argument: profile with labels ... has duplicate label name: 'service_name',cbismuth,eTF1,grafana/pyroscope-go,144,false,2025-03-14 14:40:43,,2025-03-15 04:17:24,,6,94
"Timeseries graph legend: If all values are null, ""Total"" is zero",cpkt-nowen,,grafana/grafana,102205,false,2025-03-14 14:36:54,,2025-03-14 14:40:23,"type/bug, area/panel/timeseries, area/legend, automated-triage",19,81
Update scripted and browser examples to include explicit fail method,ckbedwell,,grafana/synthetic-monitoring-app,1086,false,2025-03-14 14:32:11,,2025-03-14 16:36:25,enhancement,27,73
Alert rules are constantly updated - causing alert state reset,lupa95,,grafana/grafana-operator,1899,false,2025-03-14 14:31:54,,2025-03-17 10:07:13,triage/needs-information,49,51
TableNG: Fix bargauge cell footer overflow,Develer,Grafana Labs,grafana/grafana,102201,false,2025-03-14 14:22:26,,2025-03-14 14:22:26,area/panel/table,82,18
"Instrument event: ""save"" button in Preferences  in the profile page ",marybaldwin,,grafana/grafana,102197,false,2025-03-14 13:53:18,,2025-03-14 14:25:22,area/frontend,0,100
grafana-azure-data-explorer plugin error,kmocva,,grafana/azure-data-explorer-datasource,1234,false,2025-03-14 13:35:20,,2025-03-14 13:35:20,"type/bug, datasource/ADX",17,83
Support export to JFR,viluon,@Deutsche-Boerse,grafana/pyroscope,4009,false,2025-03-14 13:28:27,,2025-03-17 11:31:59,,55,45
"""error"":""proto: wrong wireType = 2 for field TimeUnixNano"" messages when using otelcol.exporter.otlphttp",ohmycaptainnemo,,grafana/alloy,2995,false,2025-03-14 12:56:37,,2025-03-14 12:56:37,bug,77,23
Debug UI reports Cadvisor integration as healthy even though it has issues,OlgierdEthon,,grafana/alloy,2994,false,2025-03-14 12:04:11,,2025-03-14 14:12:56,bug,36,64
Pyroscope Recording Rules,simonswine,@grafana,grafana/explore-profiles,463,false,2025-03-14 11:54:41,,2025-03-14 11:54:41,,74,26
Modals has semi-transparent border which looks funky,joshhunt,@grafana,grafana/grafana,102190,false,2025-03-14 11:42:12,,2025-03-17 09:59:11,"effort/small, prio/low, area/grafana/ui, internal",84,16
TraceQL Metrics exemplar distribution is skewed,javiermolinar,Grafana Labs,grafana/tempo,4856,false,2025-03-14 10:52:45,,2025-03-14 10:52:45,"type/bug, traceql",26,74
Ensure republish mechanism creates consistent results,ckbedwell,,grafana/synthetic-monitoring-agent,1253,false,2025-03-14 10:32:24,,2025-03-17 13:23:03,,32,68
Fixes after k6 v0.57.0 breaking changes,szkiba,,grafana/xk6-faker,52,true,2025-03-14 10:09:21,2025-03-14 12:46:54,2025-03-14 12:46:54,,1,99
I18n: Send locale preference in `grafanaBootdata`,joshhunt,@grafana,grafana/grafana,102185,true,2025-03-14 10:07:23,2025-03-14 10:32:13,2025-03-14 10:32:15,area/internationalization,61,39
I18n: Add locale preference to frontend SharedPreferences form,joshhunt,@grafana,grafana/grafana,102184,false,2025-03-14 10:02:28,,2025-03-14 10:03:10,area/internationalization,59,41
GCS gRPC Client,kolesnikovae,,grafana/pyroscope,4008,false,2025-03-14 09:58:56,,2025-03-14 09:58:56,"enhancement, backend",80,20
I18n: Add locale preference to backend,joshhunt,@grafana,grafana/grafana,102181,false,2025-03-14 09:57:07,,2025-03-14 14:31:41,area/internationalization,50,50
Update assets CDN configs,aocenas,,grafana/grafana,102180,false,2025-03-14 09:39:06,,2025-03-14 09:39:14,internal,11,89
It's not possible to select browser executable on macOS,going-confetti,@grafana,grafana/k6-studio,562,false,2025-03-14 09:31:00,,2025-03-14 09:31:00,"bug, needs-triage",41,59
Graphs not displaying after upgrade from 11.4.0 to 11.5.1,nickidw,dewet.org.za,grafana/grafana,102179,false,2025-03-14 09:14:50,,2025-03-14 09:18:15,"type/bug, area/transformations, type/regression, area/dashboard/edit, automated-triage",44,56
ValidIntervalCreatedTimestampZeroIngestion is causing zero values not ingested.,metinogurlu,@NordSecurity,grafana/mimir-prometheus,842,false,2025-03-14 09:03:01,,2025-03-14 09:03:01,,10,90
Docs: Write SCIM Troubleshooting Guide,vtorosyan,@grafana ,grafana/grafana,102177,false,2025-03-14 08:52:36,,2025-03-14 08:52:36,"type/docs, internal",87,13
Docs: Document Migration from Team Sync to SCIM,vtorosyan,@grafana ,grafana/grafana,102176,false,2025-03-14 08:51:55,,2025-03-14 08:51:55,"type/docs, internal",2,98
Docs: Compare SCIM with Other User Sync Methods,vtorosyan,@grafana ,grafana/grafana,102175,false,2025-03-14 08:51:06,,2025-03-14 08:51:06,"type/docs, internal",20,80
Docs:  Document SCIM API Reference,vtorosyan,@grafana ,grafana/grafana,102174,false,2025-03-14 08:50:14,,2025-03-14 08:50:14,"type/docs, internal",46,54
Docs: SCIM provisioning with Azure,vtorosyan,@grafana ,grafana/grafana,102173,false,2025-03-14 08:47:34,,2025-03-14 08:47:34,"type/docs, internal",3,97
Docs: SCIM provisioning with Okta,vtorosyan,@grafana ,grafana/grafana,102172,false,2025-03-14 08:45:35,,2025-03-14 08:45:35,"type/docs, internal",99,1
"Docs: Refactor current navigation tree under ""Configure security"" section",vtorosyan,@grafana ,grafana/grafana,102171,false,2025-03-14 08:37:56,,2025-03-14 16:28:29,"type/docs, internal",1,99
Docs: Base navigation structure and landing page,vtorosyan,@grafana ,grafana/grafana,102170,false,2025-03-14 08:32:25,,2025-03-14 08:52:49,"type/docs, internal",59,41
Bug: Grafana Mimir 2.15.1 is missing in dnf/yum repo,pulchart,,grafana/mimir,10887,false,2025-03-14 07:52:20,,2025-03-17 18:30:40,"bug, question",66,34
Product Area: Short description of bug,BaBiQ888,BeiJing,grafana/grafana,102168,false,2025-03-14 07:50:06,,2025-03-14 10:33:11,"type/bug, area/backend/api, area/backend, automated-triage",75,25
Multiple installations of the Grafana do not initialize empty postgres schemas on a shared logical database,dlydiard,,grafana/grafana,102160,false,2025-03-13 21:46:35,,2025-03-13 21:49:57,"type/bug, area/backend/db, area/backend, area/backend/db/postgres, automated-triage",71,29
Plugins: `backendSrv.delete` should correctly handle empty responses,tab0r,,grafana/grafana,102158,false,2025-03-13 21:24:15,,2025-03-13 22:31:22,internal,96,4
LogQL XML parser,rumpfc,,grafana/loki,16751,false,2025-03-13 20:55:00,,2025-03-13 20:55:00,,77,23
Chore: Migrate `pr-swagger-gen` from Drone to GHAs,baldm0mma,,grafana/grafana,102154,true,2025-03-13 20:44:08,2025-03-17 15:31:55,2025-03-17 15:31:56,"type/ci, no-changelog, internal",91,9
Dashboard insights: not showing new views,dana-axinte,,grafana/grafana,102153,false,2025-03-13 20:04:30,,2025-03-13 20:07:03,team/operator-experience,50,50
Stat Panel Scroll/Pagination Request,labaj,,grafana/grafana,102148,false,2025-03-13 19:33:10,,2025-03-13 19:36:24,"type/feature-request, area/panel/stat, automated-triage",19,81
Allow Updating Provisioned Alerts from the UI,shea-mcdonough,,grafana/helm-charts,3600,false,2025-03-13 18:21:05,,2025-03-13 18:21:05,,69,31
Multiple installations of the Grafana CR do not initialize empty postgres schemas,dlydiard,,grafana/grafana-operator,1893,true,2025-03-13 17:06:06,2025-03-13 21:12:37,2025-03-13 21:12:37,needs triage,7,93
Bar chart : data not showing for a specific month,pielonet,Arawa,grafana/grafana,102141,false,2025-03-13 16:45:40,,2025-03-13 16:53:12,"type/bug, area/backend/db/postgres, area/panel/barchart, automated-triage",74,26
/user/auth-tokens/rotate: redirectTo is validated incorrectly,Masterwow3,,grafana/grafana,102130,false,2025-03-13 16:02:11,,2025-03-13 16:10:35,"type/bug, area/auth, area/backend/api, type/regression, automated-triage",90,10
MCP: use on-behalf-of auth rather than service account when possible,sd2k,Grafana Labs,grafana/grafana-llm-app,593,false,2025-03-13 15:29:56,,2025-03-13 15:29:56,,83,17
Add e2e tests using Python / Typescript clients,sd2k,Grafana Labs,grafana/mcp-grafana,43,false,2025-03-13 15:27:41,,2025-03-13 15:27:41,,94,6
[v2] node exporter is dropping wrong fstype,dkpat12,@intxlog ,grafana/k8s-monitoring-helm,1319,true,2025-03-13 15:14:41,2025-03-17 19:13:37,2025-03-17 19:13:37,,34,66
CI: Integration tests can not be run in parallel,kminehart,@grafana ,grafana/grafana,102118,false,2025-03-13 14:40:02,,2025-03-13 14:40:02,internal,71,29
OpenSearch 2.9 not working in Grafana 11.x version,Daniel-Mompean,,grafana/grafana,102117,false,2025-03-13 14:31:23,,2025-03-17 18:01:01,"type/bug, area/backend, type/regression, datasource/OpenSearch, automated-triage",89,11
"Add an optional ""since"" parameter to /api/search",javiermolinar,Grafana Labs,grafana/tempo,4849,false,2025-03-13 14:24:59,,2025-03-13 14:24:59,"area/query, component/querier, component/query-frontend",96,4
Introduce metaMonitoring helm support for Loki,franpog859,@travelping,grafana/helm-charts,3599,false,2025-03-13 14:24:40,,2025-03-13 14:24:40,,47,53
Introduce metaMonitoring helm support for Tempo,franpog859,@travelping,grafana/helm-charts,3598,false,2025-03-13 14:21:45,,2025-03-13 14:21:45,,66,34
SSE mode not working?,sjoeboo,Spotify,grafana/mcp-grafana,40,true,2025-03-13 14:17:03,2025-03-13 15:43:31,2025-03-13 16:38:10,,46,54
Loki internal __aggregated_metric__ is not hidden,vladst3f,,grafana/grafana,102114,false,2025-03-13 14:16:22,,2025-03-13 14:19:56,"type/bug, area/explore, datasource/Loki, automated-triage",43,57
Metric name isn't interpolating correctly when navigating to Explore from panel extension point,NWRichmond,Grafana,grafana/metrics-drilldown,170,true,2025-03-13 13:52:55,2025-03-13 19:02:38,2025-03-13 19:02:38,,62,38
[tempo] Add support for tenant provisioning,rbrady,@grafana,grafana/helm-charts,3596,true,2025-03-13 13:50:41,2025-03-14 08:15:40,2025-03-14 08:15:40,,44,56
Cisco webex teams contact point is not working,elangela,,grafana/grafana,102111,false,2025-03-13 13:44:20,,2025-03-14 07:35:29,"type/bug, area/alerting, automated-triage",10,90
traces_target_info should be produced even when there is a lack of other attributes,gouthamve,Grafana Labs,grafana/tempo,4848,false,2025-03-13 13:24:54,,2025-03-13 14:26:44,"type/bug, component/metrics-generator",92,8
"Remove ""sort by"" options in connections and plugins views",sympatheticmoose,@grafana,grafana/grafana,102104,false,2025-03-13 12:45:39,,2025-03-13 12:47:14,"area/plugins-catalog, internal",7,93
Grafana Access Policies -> Conditions allowed_subnet conditional?,carlos-lehmann,,grafana/terraform-provider-grafana,2073,false,2025-03-13 12:38:59,,2025-03-13 12:38:59,,51,49
Add readiness and liveness probes to alloy pods,mblaschke-daimlertruck,Daimler Truck AG,grafana/k8s-monitoring-helm,1318,false,2025-03-13 12:07:26,,2025-03-13 22:59:07,,96,4
Streaming data does not work,amylizzle,,grafana/grafana-polystat-panel,440,false,2025-03-13 11:11:44,,2025-03-13 11:11:44,,36,64
Implement file associations to open generator files in k6 Studio,going-confetti,@grafana,grafana/k6-studio,557,false,2025-03-13 11:04:50,,2025-03-13 11:04:50,needs-triage,52,48
[v2] allow custom labels for service_name for pod logs.,bergur88,,grafana/k8s-monitoring-helm,1317,false,2025-03-13 10:53:54,,2025-03-13 10:53:54,,62,38
[v2] Scrape kubernetes probes metrics,RobFone,,grafana/k8s-monitoring-helm,1316,true,2025-03-13 10:17:51,2025-03-14 14:46:15,2025-03-14 14:46:15,,37,63
Provide TypeScript definitions for the library,oleiade,Grafana Labs,grafana/k6-jslib-testing,22,false,2025-03-13 10:05:27,,2025-03-13 10:05:27,,3,97
Upgrade k6 to v0.57.0,Yeshwanth-Athmakuri,,grafana/xk6-client-prometheus-remote,42,false,2025-03-13 10:03:01,,2025-03-13 10:03:01,,78,22
Remove xk6-ts,szkiba,,grafana/k6-extension-registry,55,true,2025-03-13 09:59:32,2025-03-13 10:11:28,2025-03-13 10:11:28,,33,67
Documentation feedback: /docs/sources/administration/roles-and-permissions/access-control/rbac-terraform-provisioning/index.md,GunFood,,grafana/grafana,102085,false,2025-03-13 09:33:22,,2025-03-13 09:36:43,"type/docs, area/provisioning, area/auth/serviceaccount, automated-triage",95,5
Threshold value assigned to a variable,JoachimSchiewek,,grafana/grafana,102081,false,2025-03-13 08:31:47,,2025-03-13 08:35:01,"type/feature-request, area/panel/canvas, automated-triage, area/dashboard/variable",77,23
Allow configuration of GRPC ruler,keenobi,,grafana/loki,16726,false,2025-03-13 08:13:27,,2025-03-13 16:55:19,,85,15
server_address label causes high cardinality,bjor-joh,,grafana/beyla,1741,true,2025-03-13 08:10:25,2025-03-13 13:51:24,2025-03-13 13:51:25,,51,49
Issues with query based variables & using API authentication,joamla96,@cloudfactorydk ,grafana/grafana-kiosk,169,false,2025-03-13 08:04:00,,2025-03-13 08:04:00,,98,2
loki does not allow special characters as the prefix of structured metadata key,yongzhang,,grafana/loki,16725,false,2025-03-13 07:49:33,,2025-03-13 07:50:19,,81,19
"Improvement to log message on msg=""Append failed"" mimetype",daxroc,,grafana/alloy,2982,false,2025-03-13 07:41:56,,2025-03-13 07:49:13,bug,60,40
Ketahui dan simpan nomor telepon call center pluang **0811-721-812** resmi untuk kebutuhan layanan dan pengaduan pelanggan agar tak terkena penipuan!,Layanan24,,grafana/grafana,102080,false,2025-03-13 07:27:00,,2025-03-13 07:30:29,automated-triage,93,7
Very high CPU usage,Vormillion,,grafana/k6,4628,false,2025-03-13 07:01:39,,2025-03-13 07:01:54,triage,98,2
How to Pass Axios Error Request Information to Faro Payload？,zzefff,,grafana/faro-web-sdk,1032,false,2025-03-13 06:37:51,,2025-03-13 06:40:56,,37,63
remotecfg: add more testing surrounding NotModified,spartan0x117,Grafana Labs,grafana/alloy,2981,false,2025-03-13 06:17:19,,2025-03-13 06:17:19,,42,58
Links can point to other spans than parent span,stoewer,@grafana,grafana/xk6-client-tracing,38,false,2025-03-13 05:35:01,,2025-03-13 05:35:08,enhancement,17,83
Frontend Core Panel Migrations - `table` panel migration issue,tolzhabayev,Grafana Labs,grafana/grafana,102078,false,2025-03-13 04:26:12,,2025-03-13 04:48:03,"type/bug, area/panel/table, internal, area/dataviz",73,27
UUID without timestamp is not efficient for query.,zdyj3170101136,mihoyo,grafana/tempo,4841,true,2025-03-13 03:45:21,2025-03-13 08:49:05,2025-03-13 08:49:06,,28,72
export TimeSeriesTooltip to public ui,sasa-gojic,,grafana/grafana,102077,false,2025-03-13 01:44:48,,2025-03-13 02:09:46,"type/feature-request, area/tooltip, automated-triage",27,73
Helm chart has inconsistent names for components,evilhamsterman,Qumulo,grafana/loki,16719,false,2025-03-13 00:15:46,,2025-03-13 00:15:46,,91,9
mimir.rules.kubernetes cannot parse expressions with durations,armsnyder,,grafana/alloy,2979,true,2025-03-12 23:10:39,2025-03-12 23:16:56,2025-03-12 23:16:57,bug,43,57
[New Data Source]: PRTG Network Monitor Datasource,sacpaul3111,,grafana/grafana,102071,false,2025-03-12 22:39:32,,2025-03-14 02:20:23,"area/datasource, type/new-plugin-request",25,75
